,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,9,Buyer,Low,High,56,11.0,73.0,3.0,73.0,73.0,73.0,73.0,73.0,3.0,35.0,3.0,11.0,35.0,3.0,11.0,11.0,35.0,3.0,11.0,35.0
1,2,2,Buyer,High,Low,52,56.0,56.0,28.0,18.0,56.0,28.0,4.0,4.0,18.0,56.0,56.0,56.0,18.0,56.0,4.0,28.0,28.0,18.0,56.0,4.0
2,3,9,Seller,High,Low,0,26.0,16.0,1.0,16.0,26.0,16.0,57.0,16.0,1.0,16.0,1.0,16.0,26.0,1.0,26.0,26.0,57.0,1.0,26.0,16.0
3,4,2,Seller,Low,Low,0,47.0,47.0,52.0,52.0,47.0,7.0,2.0,2.0,7.0,52.0,7.0,52.0,52.0,52.0,2.0,52.0,47.0,7.0,7.0,2.0
4,5,8,Seller,High,High,0,32.0,59.0,27.0,59.0,32.0,6.0,32.0,27.0,32.0,59.0,32.0,59.0,27.0,6.0,27.0,6.0,32.0,6.0,27.0,27.0
5,6,8,Buyer,High,High,12,40.0,78.0,64.0,40.0,40.0,5.0,64.0,78.0,78.0,64.0,78.0,64.0,40.0,5.0,78.0,5.0,64.0,5.0,78.0,78.0
6,7,2,Buyer,High,High,83,18.0,28.0,56.0,28.0,18.0,4.0,56.0,18.0,4.0,18.0,4.0,28.0,56.0,18.0,18.0,56.0,18.0,4.0,4.0,28.0
7,8,10,Buyer,Low,Low,50,49.0,12.0,49.0,49.0,37.0,25.0,25.0,12.0,12.0,25.0,49.0,25.0,37.0,25.0,37.0,25.0,49.0,37.0,12.0,25.0
8,9,10,Buyer,High,Low,57,12.0,49.0,25.0,25.0,12.0,12.0,49.0,25.0,25.0,12.0,37.0,12.0,25.0,49.0,25.0,12.0,25.0,25.0,25.0,49.0
9,10,4,Buyer,High,High,83,60.0,44.0,60.0,60.0,67.0,70.0,60.0,70.0,70.0,60.0,67.0,44.0,67.0,70.0,44.0,44.0,60.0,67.0,67.0,70.0
10,11,9,Seller,High,High,0,1.0,57.0,16.0,26.0,57.0,26.0,26.0,26.0,57.0,26.0,16.0,1.0,57.0,16.0,1.0,1.0,26.0,16.0,1.0,57.0
11,12,10,Seller,High,Low,0,9.0,8.0,19.0,75.0,9.0,9.0,75.0,8.0,8.0,9.0,75.0,9.0,75.0,19.0,19.0,9.0,75.0,75.0,8.0,19.0
12,13,7,Buyer,Low,Low,99,14.0,14.0,14.0,33.0,69.0,69.0,33.0,69.0,33.0,33.0,14.0,14.0,33.0,14.0,14.0,14.0,58.0,33.0,33.0,33.0
13,14,7,Seller,High,High,0,13.0,13.0,13.0,23.0,41.0,41.0,23.0,51.0,41.0,51.0,13.0,13.0,23.0,13.0,13.0,13.0,51.0,41.0,23.0,41.0
14,15,6,Buyer,High,High,1,68.0,39.0,24.0,24.0,39.0,68.0,29.0,39.0,68.0,24.0,68.0,39.0,24.0,39.0,29.0,29.0,24.0,39.0,39.0,68.0
15,16,9,Buyer,High,High,57,73.0,3.0,11.0,3.0,35.0,3.0,35.0,3.0,35.0,3.0,11.0,3.0,73.0,11.0,35.0,73.0,73.0,11.0,73.0,3.0
16,17,1,Seller,Low,Low,0,21.0,21.0,42.0,77.0,34.0,21.0,77.0,21.0,77.0,34.0,77.0,34.0,34.0,42.0,34.0,42.0,34.0,34.0,34.0,42.0
17,18,2,Seller,High,Low,0,7.0,52.0,47.0,2.0,7.0,47.0,52.0,7.0,2.0,7.0,52.0,47.0,2.0,7.0,7.0,47.0,7.0,2.0,52.0,47.0
18,19,10,Buyer,High,High,22,37.0,37.0,12.0,37.0,25.0,49.0,37.0,49.0,37.0,37.0,25.0,37.0,49.0,12.0,12.0,37.0,37.0,49.0,49.0,12.0
19,20,5,Seller,High,Low,0,71.0,71.0,66.0,71.0,66.0,66.0,66.0,43.0,43.0,43.0,22.0,66.0,43.0,22.0,43.0,71.0,66.0,43.0,66.0,71.0
20,21,1,Buyer,High,High,73,17.0,17.0,79.0,31.0,31.0,17.0,79.0,17.0,48.0,31.0,79.0,79.0,31.0,31.0,48.0,31.0,48.0,31.0,79.0,79.0
21,22,5,Buyer,Low,High,80,30.0,30.0,45.0,76.0,30.0,45.0,76.0,76.0,76.0,45.0,20.0,45.0,45.0,20.0,76.0,76.0,30.0,45.0,76.0,76.0
22,23,7,Buyer,Low,High,91,58.0,58.0,33.0,14.0,33.0,58.0,14.0,58.0,69.0,69.0,58.0,58.0,14.0,58.0,69.0,69.0,33.0,69.0,14.0,69.0
23,24,6,Seller,Low,High,0,72.0,72.0,15.0,15.0,72.0,54.0,38.0,72.0,72.0,15.0,72.0,54.0,15.0,38.0,38.0,54.0,15.0,38.0,38.0,38.0
24,25,10,Seller,Low,High,0,75.0,75.0,9.0,9.0,19.0,8.0,8.0,9.0,9.0,8.0,19.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0
25,26,9,Buyer,Low,High,86,3.0,35.0,73.0,11.0,3.0,11.0,11.0,11.0,73.0,11.0,35.0,73.0,3.0,73.0,3.0,3.0,11.0,35.0,3.0,73.0
26,27,8,Buyer,Low,High,55,78.0,40.0,5.0,64.0,64.0,78.0,40.0,5.0,64.0,78.0,40.0,40.0,5.0,78.0,5.0,40.0,78.0,78.0,5.0,5.0
27,28,2,Seller,Low,Low,0,52.0,7.0,2.0,7.0,52.0,2.0,47.0,47.0,52.0,47.0,47.0,7.0,47.0,47.0,52.0,2.0,2.0,47.0,47.0,7.0
28,29,6,Seller,High,Low,0,38.0,54.0,54.0,38.0,38.0,38.0,15.0,38.0,38.0,54.0,54.0,72.0,54.0,72.0,15.0,15.0,38.0,54.0,72.0,72.0
29,30,5,Seller,Low,High,0,22.0,22.0,43.0,66.0,22.0,43.0,71.0,66.0,66.0,71.0,71.0,43.0,71.0,66.0,66.0,66.0,22.0,66.0,43.0,66.0
30,31,1,Seller,Low,Low,0,42.0,34.0,77.0,21.0,21.0,77.0,42.0,42.0,34.0,21.0,42.0,77.0,21.0,21.0,77.0,21.0,42.0,21.0,77.0,34.0
31,32,8,Buyer,High,High,92,5.0,64.0,78.0,78.0,5.0,64.0,5.0,40.0,5.0,40.0,5.0,78.0,64.0,40.0,40.0,64.0,5.0,40.0,40.0,40.0
32,33,7,Seller,High,Low,0,51.0,51.0,23.0,13.0,23.0,51.0,13.0,41.0,13.0,13.0,41.0,41.0,13.0,41.0,51.0,51.0,23.0,13.0,13.0,13.0
33,34,1,Buyer,Low,High,74,79.0,31.0,48.0,79.0,17.0,79.0,48.0,79.0,31.0,17.0,48.0,17.0,17.0,79.0,17.0,48.0,17.0,17.0,17.0,31.0
34,35,9,Seller,Low,Low,0,57.0,26.0,57.0,57.0,16.0,57.0,16.0,57.0,16.0,1.0,26.0,57.0,1.0,57.0,16.0,57.0,1.0,26.0,57.0,1.0
35,36,3,Seller,Low,High,0,63.0,62.0,55.0,63.0,55.0,63.0,61.0,62.0,62.0,61.0,62.0,61.0,62.0,55.0,62.0,62.0,63.0,63.0,61.0,63.0
36,37,10,Seller,Low,Low,0,19.0,19.0,75.0,19.0,8.0,75.0,19.0,75.0,19.0,19.0,9.0,19.0,8.0,75.0,8.0,19.0,19.0,8.0,75.0,75.0
37,38,6,Buyer,High,Low,22,29.0,68.0,68.0,29.0,29.0,29.0,24.0,29.0,29.0,68.0,39.0,68.0,68.0,24.0,24.0,68.0,29.0,24.0,24.0,24.0
38,39,6,Seller,High,High,0,54.0,15.0,72.0,54.0,15.0,72.0,54.0,15.0,54.0,72.0,38.0,15.0,72.0,15.0,54.0,72.0,54.0,15.0,15.0,54.0
39,40,8,Seller,High,Low,0,6.0,27.0,59.0,6.0,6.0,59.0,27.0,32.0,59.0,32.0,27.0,27.0,6.0,32.0,32.0,27.0,59.0,32.0,32.0,32.0
40,41,7,Buyer,Low,Low,37,69.0,69.0,69.0,69.0,14.0,14.0,58.0,33.0,14.0,58.0,33.0,33.0,58.0,33.0,58.0,58.0,69.0,14.0,69.0,14.0
41,42,1,Buyer,High,High,53,31.0,79.0,17.0,48.0,48.0,48.0,31.0,31.0,79.0,79.0,31.0,48.0,48.0,17.0,79.0,17.0,31.0,48.0,48.0,17.0
42,43,5,Buyer,Low,High,93,76.0,45.0,30.0,45.0,76.0,30.0,45.0,20.0,20.0,20.0,45.0,30.0,20.0,45.0,20.0,45.0,45.0,20.0,30.0,45.0
43,44,4,Seller,Low,High,0,74.0,10.0,53.0,74.0,74.0,65.0,53.0,74.0,65.0,53.0,74.0,10.0,53.0,74.0,10.0,10.0,65.0,65.0,53.0,74.0
44,45,5,Seller,High,Low,0,66.0,43.0,22.0,43.0,71.0,22.0,43.0,71.0,71.0,22.0,43.0,22.0,22.0,43.0,71.0,43.0,43.0,22.0,71.0,43.0
45,46,3,Seller,Low,Low,0,62.0,55.0,61.0,55.0,61.0,62.0,63.0,61.0,55.0,63.0,61.0,63.0,63.0,63.0,55.0,55.0,61.0,61.0,62.0,55.0
46,47,2,Buyer,High,High,36,4.0,4.0,18.0,56.0,4.0,18.0,28.0,28.0,56.0,28.0,28.0,18.0,28.0,28.0,56.0,18.0,4.0,28.0,28.0,18.0
47,48,1,Seller,High,Low,0,77.0,77.0,34.0,42.0,42.0,42.0,34.0,77.0,21.0,77.0,34.0,42.0,42.0,77.0,21.0,34.0,21.0,42.0,42.0,77.0
48,49,10,Seller,High,High,0,8.0,9.0,8.0,8.0,75.0,19.0,9.0,19.0,75.0,75.0,8.0,75.0,19.0,9.0,75.0,75.0,8.0,19.0,19.0,9.0
49,50,3,Seller,Low,Low,0,55.0,61.0,62.0,61.0,62.0,55.0,62.0,55.0,61.0,55.0,63.0,62.0,61.0,61.0,63.0,63.0,55.0,55.0,63.0,62.0
50,51,7,Buyer,High,High,95,33.0,33.0,58.0,58.0,58.0,33.0,69.0,14.0,58.0,14.0,69.0,69.0,69.0,69.0,33.0,33.0,14.0,58.0,58.0,58.0
51,52,2,Buyer,Low,High,57,28.0,18.0,4.0,4.0,28.0,56.0,18.0,56.0,28.0,4.0,18.0,4.0,4.0,4.0,28.0,4.0,56.0,56.0,18.0,56.0
52,53,4,Buyer,Low,Low,49,70.0,67.0,44.0,70.0,60.0,60.0,44.0,60.0,60.0,44.0,60.0,60.0,44.0,60.0,70.0,60.0,70.0,70.0,44.0,67.0
53,54,6,Buyer,Low,High,14,39.0,29.0,29.0,39.0,68.0,24.0,39.0,68.0,39.0,29.0,29.0,24.0,29.0,68.0,39.0,24.0,39.0,29.0,68.0,39.0
54,55,3,Buyer,Low,High,71,50.0,46.0,36.0,46.0,36.0,50.0,80.0,50.0,46.0,50.0,80.0,80.0,80.0,36.0,46.0,46.0,50.0,50.0,80.0,46.0
55,56,2,Seller,Low,High,0,2.0,2.0,7.0,47.0,2.0,52.0,7.0,52.0,47.0,2.0,2.0,2.0,7.0,2.0,47.0,7.0,52.0,52.0,2.0,52.0
56,57,9,Buyer,Low,Low,35,35.0,11.0,35.0,35.0,11.0,35.0,3.0,35.0,11.0,73.0,73.0,35.0,11.0,35.0,73.0,35.0,3.0,73.0,35.0,11.0
57,58,7,Seller,High,High,0,23.0,23.0,51.0,51.0,51.0,23.0,41.0,23.0,51.0,41.0,23.0,23.0,41.0,23.0,41.0,41.0,13.0,51.0,51.0,51.0
58,59,8,Buyer,Low,Low,46,64.0,5.0,40.0,5.0,78.0,40.0,78.0,64.0,40.0,5.0,64.0,5.0,78.0,64.0,64.0,78.0,40.0,64.0,64.0,64.0
59,60,4,Seller,High,Low,0,10.0,65.0,10.0,10.0,53.0,53.0,10.0,53.0,53.0,10.0,53.0,53.0,74.0,53.0,65.0,53.0,10.0,74.0,74.0,65.0
60,61,3,Buyer,High,High,82,80.0,50.0,46.0,50.0,46.0,80.0,36.0,46.0,50.0,36.0,46.0,36.0,50.0,50.0,80.0,80.0,46.0,46.0,36.0,80.0
61,62,3,Buyer,High,Low,86,46.0,36.0,50.0,80.0,50.0,46.0,50.0,36.0,36.0,80.0,36.0,50.0,36.0,80.0,36.0,36.0,80.0,80.0,46.0,50.0
62,63,3,Buyer,High,Low,83,36.0,80.0,80.0,36.0,80.0,36.0,46.0,80.0,80.0,46.0,50.0,46.0,46.0,46.0,50.0,50.0,36.0,36.0,50.0,36.0
63,64,8,Seller,Low,Low,0,59.0,32.0,6.0,27.0,27.0,32.0,6.0,59.0,27.0,6.0,59.0,6.0,32.0,59.0,59.0,32.0,6.0,59.0,59.0,59.0
64,65,4,Buyer,Low,High,14,67.0,60.0,67.0,67.0,70.0,44.0,67.0,67.0,44.0,67.0,70.0,67.0,70.0,67.0,60.0,67.0,44.0,44.0,70.0,60.0
65,66,5,Buyer,High,High,99,45.0,76.0,20.0,30.0,20.0,20.0,20.0,30.0,30.0,76.0,76.0,20.0,76.0,30.0,30.0,30.0,20.0,30.0,20.0,30.0
66,67,4,Seller,Low,Low,0,65.0,53.0,65.0,65.0,10.0,74.0,65.0,65.0,74.0,65.0,10.0,65.0,10.0,65.0,74.0,65.0,74.0,10.0,10.0,53.0
67,68,6,Seller,Low,Low,0,15.0,38.0,38.0,72.0,54.0,15.0,72.0,54.0,15.0,38.0,15.0,38.0,38.0,54.0,72.0,38.0,72.0,72.0,54.0,15.0
68,69,7,Seller,Low,Low,0,41.0,41.0,41.0,41.0,13.0,13.0,51.0,13.0,23.0,23.0,51.0,51.0,51.0,51.0,23.0,23.0,41.0,23.0,41.0,23.0
69,70,4,Seller,High,Low,0,53.0,74.0,74.0,53.0,65.0,10.0,74.0,10.0,10.0,74.0,65.0,74.0,65.0,10.0,53.0,74.0,53.0,53.0,65.0,10.0
70,71,5,Buyer,High,Low,31,20.0,20.0,76.0,20.0,45.0,76.0,30.0,45.0,45.0,30.0,30.0,76.0,30.0,76.0,45.0,20.0,76.0,76.0,45.0,20.0
71,72,6,Buyer,Low,Low,98,24.0,24.0,39.0,68.0,24.0,39.0,68.0,24.0,24.0,39.0,24.0,29.0,39.0,29.0,68.0,39.0,68.0,68.0,29.0,29.0
72,73,9,Seller,High,Low,0,16.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,26.0,57.0,57.0,26.0,16.0,26.0,57.0,16.0,16.0,57.0,16.0,26.0
73,74,4,Buyer,High,High,86,44.0,70.0,70.0,44.0,44.0,67.0,70.0,44.0,67.0,70.0,44.0,70.0,60.0,44.0,67.0,70.0,67.0,60.0,60.0,44.0
74,75,10,Buyer,Low,High,87,25.0,25.0,37.0,12.0,49.0,37.0,12.0,37.0,49.0,49.0,12.0,49.0,12.0,37.0,49.0,49.0,12.0,12.0,37.0,37.0
75,76,5,Seller,Low,Low,0,43.0,66.0,71.0,22.0,43.0,71.0,22.0,22.0,22.0,66.0,66.0,71.0,66.0,71.0,22.0,22.0,71.0,71.0,22.0,22.0
76,77,1,Buyer,High,Low,55,48.0,48.0,31.0,17.0,79.0,31.0,17.0,48.0,17.0,48.0,17.0,31.0,79.0,48.0,31.0,79.0,79.0,79.0,31.0,48.0
77,78,8,Seller,Low,Low,0,27.0,6.0,32.0,32.0,59.0,27.0,59.0,6.0,6.0,27.0,6.0,32.0,59.0,27.0,6.0,59.0,27.0,27.0,6.0,6.0
78,79,1,Seller,Low,High,0,34.0,42.0,21.0,34.0,77.0,34.0,21.0,34.0,42.0,42.0,21.0,21.0,77.0,34.0,42.0,77.0,77.0,77.0,21.0,21.0
79,80,3,Seller,High,High,0,61.0,63.0,63.0,62.0,63.0,61.0,55.0,63.0,63.0,62.0,55.0,55.0,55.0,62.0,61.0,61.0,62.0,62.0,55.0,61.0
